ID1,Article 9
ID1,Article 14
ID1,Article 1
ID1,Article 3
ID2,Article 9
ID2,Article 1
ID2,Article 10
ID3,Article 1
ID4,Article 9
ID4,Article 1
ID4,Article 1
ID4,Article 2
ID5,Article 4
ID5,Article 1
ID5,Article 1
ID5,Article 14
ID6,Article 1
ID6,Article 1
ID6,Article 1
ID6,Article 16
ID6,Article 7
ID7,Article 14
ID8,Article 4
ID8,Article 1
ID8,Article 14
ID8,Article 5
ID8,Article 5
ID9,Article 17
ID10,Article 1
ID10,Article 16
ID11,Article 9
ID11,Article 4
ID11,Article 14
ID11,Article 10
ID11,Article 12
ID12,Article 9
ID12,Article 9
ID12,Article 1
ID12,Article 1
ID12,Article 1
ID12,Article 1
ID12,Article 16
ID12,Article 10
ID12,Article 15
ID13,Article 2
ID14,Article 6
ID14,Article 14
ID14,Article 10
ID15,Article 2
ID15,Article 9
ID16,Article 1
ID16,Article 8
ID16,Article 9
ID16,Article 6
ID17,Article 9
ID18,Article 9
ID19,Article 12
ID20,Article 12
ID21,Article 4
ID22,Article 1
ID22,Article 14
ID23,Article 1
ID24,Article 9
ID24,Article 1
ID24,Article 1
ID24,Article 7
ID24,Article 6
ID25,Article 9
ID25,Article 4
ID25,Article 4
ID25,Article 1
ID25,Article 14
ID25,Article 16
ID25,Article 8
ID25,Article 11
ID25,Article 11
ID25,Article 12
ID25,Article 7
ID26,Article 10
ID26,Article 5
ID27,Article 1
ID28,Article 2
ID28,Article 14
ID28,Article 10
ID28,Article 12
ID29,Article 4
ID30,Article 14
ID30,Article 10
ID30,Article 9
ID30,Article 5
ID30,Article 6
ID30,Article 6
ID31,Article 1
ID31,Article 10
ID31,Article 10
ID31,Article 12
ID32,Article 2
ID32,Article 4
ID32,Article 14
ID32,Article 8
ID32,Article 10
ID32,Article 7
ID32,Article 7
ID33,Article 4
ID33,Article 4
ID33,Article 1
ID33,Article 10
ID33,Article 8
ID34,Article 2
ID34,Article 9
ID34,Article 4
ID34,Article 1
ID34,Article 1
ID34,Article 8
ID34,Article 10
ID34,Article 7
ID35,Article 2
ID35,Article 9
ID35,Article 7
ID36,Article 14
ID36,Article 10
ID37,Article 9
ID38,Article 5
ID39,Article 4
ID39,Article 4
ID39,Article 1
ID39,Article 1
ID40,Article 9
ID40,Article 6
ID40,Article 6
ID41,Article 2
ID41,Article 14
ID41,Article 10
ID41,Article 5
ID41,Article 12
ID41,Article 6
ID42,Article 9
ID42,Article 4
ID42,Article 1
ID42,Article 1
ID42,Article 2
ID42,Article 14
ID42,Article 14
ID42,Article 8
ID42,Article 16
ID42,Article 10
ID42,Article 10
ID42,Article 11
ID42,Article 12
ID43,Article 9
ID43,Article 1
ID44,Article 5
ID45,Article 1
ID45,Article 1
ID45,Article 1
ID45,Article 1
ID45,Article 14
ID45,Article 10
ID45,Article 10
ID45,Article 6
ID46,Article 10
ID47,Article 14
ID47,Article 10
ID48,Article 14
ID49,Article 10
ID50,Article 4
ID50,Article 4
ID50,Article 1
ID50,Article 1
ID50,Article 1
ID50,Article 1
ID50,Article 1
ID50,Article 14
ID50,Article 10
ID50,Article 14
ID51,Article 2
ID51,Article 14
ID51,Article 18
ID51,Article 6
ID52,Article 5
ID53,Article 2
ID53,Article 9
ID53,Article 4
ID53,Article 1
ID54,Article 2
ID54,Article 9
ID54,Article 4
ID54,Article 1
ID54,Article 2
ID54,Article 14
ID54,Article 14
ID54,Article 1
ID54,Article 15
ID54,Article 9
ID55,Article 1
ID55,Article 1
ID55,Article 1
ID55,Article 4
ID55,Article 10
ID56,Article 1
ID56,Article 1
ID56,Article 1
ID56,Article 14
ID57,Article 9
ID57,Article 14
ID57,Article 5
ID58,Article 14
ID58,Article 4
ID58,Article 10
ID58,Article 12
ID58,Article 12
ID58,Article 7
ID58,Article 7
ID59,Article 2
ID59,Article 2
ID59,Article 1
ID59,Article 1
ID59,Article 14
ID59,Article 18
ID60,Article 14
ID60,Article 14
ID60,Article 8
ID61,Article 4
ID61,Article 1
ID61,Article 4
ID61,Article 2
ID61,Article 11
ID61,Article 4
ID61,Article 7
ID62,Article 2
ID62,Article 14
ID63,Article 2
ID63,Article 2
ID63,Article 1
ID64,Article 6
ID64,Article 9
ID64,Article 14
ID64,Article 14
ID64,Article 8
ID65,Article 14
ID65,Article 14
ID65,Article 10
ID66,Article 1
ID67,Article 1
ID67,Article 10
ID68,Article 5
ID68,Article 6
ID69,Article 2
ID69,Article 1
ID69,Article 1
ID70,Article 9
ID70,Article 9
ID70,Article 9
ID70,Article 1
ID70,Article 4
ID70,Article 14
ID70,Article 4
ID70,Article 12
ID71,Article 5
ID72,Article 1
ID72,Article 1
ID72,Article 1
ID72,Article 4
ID72,Article 12
ID72,Article 6
ID72,Article 17
ID73,Article 6
ID73,Article 9
ID73,Article 1
ID73,Article 2
ID73,Article 4
ID73,Article 5
ID73,Article 12
ID73,Article 6
ID74,Article 1
ID74,Article 2
ID74,Article 10
ID75,Article 4
ID76,Article 4
ID76,Article 1
ID76,Article 14
ID76,Article 8
ID77,Article 9
ID77,Article 1
ID77,Article 1
ID77,Article 1
ID77,Article 14
ID78,Article 16
ID78,Article 8
ID78,Article 10
ID78,Article 9
ID78,Article 5
ID79,Article 8
ID79,Article 10
ID79,Article 10
ID79,Article 5
ID80,Article 3
ID80,Article 10
ID81,Article 12
ID82,Article 4
ID82,Article 1
ID82,Article 4
ID82,Article 2
ID82,Article 14
ID82,Article 4
ID82,Article 1
ID82,Article 4
ID82,Article 9
ID82,Article 7
ID83,Article 4
ID83,Article 4
ID83,Article 1
ID83,Article 4
ID84,Article 4
ID84,Article 1
ID84,Article 4
ID84,Article 8
ID84,Article 4
ID84,Article 5
ID84,Article 6
ID85,Article 10
ID86,Article 2
ID86,Article 4
ID86,Article 4
ID86,Article 1
ID86,Article 14
ID86,Article 5
ID86,Article 7
ID87,Article 10
ID87,Article 6
ID88,Article 2
